Date,Food ,Mines,Oil  ,Clths,Durbl,Chems,Cnsum,Cnstr,Steel,FabPr,Machn,Cars ,Trans,Utils,Rtail,Finan,Other
1992-10-01,-1.06,-4.95,-3.55,0.66,-1.67,0.52,2.87,2.3,1.54,1.71,-1.06,-0.28,4.54,-0.43,4.52,2.81,2.51
1992-11-01,2.81,-6.62,-2.51,8.68,6.26,1.98,3.24,3.23,7.07,4.07,6.07,8.34,4.17,-0.23,7.29,6.57,5.68
1992-12-01,0.35,3.67,1.95,1.34,-0.52,0.92,-1.89,2.12,4.04,2.37,1.04,3.79,4.64,2.7,-0.53,4.61,2.39
1993-01-01,-1.66,-2.77,2.67,0.16,8.17,-2.18,-7.03,-0.47,6.53,1.6,4.11,9.82,0.33,2.45,0.01,3.74,1.2
1993-02-01,-2.3,3.69,6.05,-2.81,1.19,0.38,-4.1,4.18,-0.52,-1.44,0.18,-0.03,1.3,6.22,-1.54,0.94,-0.41
1993-03-01,-0.53,10.27,4.03,3.97,3.28,2.06,0.22,1.48,-0.78,3.91,2.22,5.65,4.06,1.76,3.06,4.29,2.4
1993-04-01,-10.86,2.8,1.06,-5.4,-5.9,2.95,0.66,-3.1,-2.21,-0.74,-1.96,3.76,1.07,-0.15,-8.81,-3.79,-2.82
1993-05-01,2.91,6.06,1.76,1.72,3.25,1.95,2.19,2.91,4.15,1.84,6.59,1.11,2.76,-0.04,5.51,0.4,5.02
1993-06-01,-0.46,3.42,-1.04,-8.38,-0.34,-3.94,-2.48,-2.07,1.3,-2.37,0.19,4.29,0.4,3.18,-3.5,3.9,1.48
1993-07-01,-2.53,6.72,0.48,-4.08,1.74,0.86,-6.78,0.37,-2.11,-2.72,-1.77,2.53,3.41,1.94,0.5,2.41,-0.38
1993-08-01,4.29,-6.77,4.23,5.31,7.66,3.49,3.54,3.27,2.88,5.08,5.83,-0.43,4.09,3.69,3.95,3.13,4.3
1993-09-01,-2.15,-8.02,1.35,-3.33,-0.62,-2.65,-0.39,-2.22,-4.39,0.59,-1.22,0.85,-0.72,-0.64,0.21,2.39,0.97
1993-10-01,5.94,6.66,-1.94,4.54,4.2,2.38,6.56,2.84,4.23,6.91,0.99,9.79,2.26,-1.96,5.22,-3.82,2.71
